Geography2,Area Code3,Area,Pre 1900,1900 to 1918,1919 to 1929,1930 to 1939,1945 to 1954,1955 to 1964,1965 to 1972,1973 to 1982,1983 to 1992,1993 to 1999,2000 to 2009,2010 to 2012,Unknown1,Total
LSOA,E01033488,Islington 011G,140,0,50,10,0,90,30,80,0,0,200,40,0,640.00 
LSOA,E01033491,Islington 011H,490,160,40,0,60,10,0,10,10,0,160,90,30,1060.00 
LSOA,E01033492,Islington 011I,170,10,0,0,0,0,0,0,0,0,530,280,0,1000.00 
MSOA,E02000565,Islington 012,"1,370",290,0,20,750,370,320,160,30,40,270,20,160,3790.00 
LSOA,E01002777,Islington 012A,570,60,0,10,40,50,0,0,10,0,120,10,20,890.00 
LSOA,E01002778,Islington 012B,190,10,0,0,230,150,40,80,10,0,60,0,0,770.00 
LSOA,E01002779,Islington 012C,480,140,0,10,30,70,20,0,0,10,70,0,70,910.00 
LSOA,E01002781,Islington 012D,80,60,0,0,190,60,60,80,0,10,0,0,70,610.00 
LSOA,E01002782,Islington 012E,50,10,0,0,270,40,200,0,0,10,20,0,0,610.00 
MSOA,E02000566,Islington 013,"2,230",380,0,70,90,140,80,200,60,120,300,100,240,4010.00 
LSOA,E01002739,Islington 013A,570,40,0,0,0,10,10,10,30,40,120,0,20,850.00 
LSOA,E01002740,Islington 013B,570,80,0,30,0,30,20,20,10,0,50,60,120,990.00 
LSOA,E01002745,Islington 013C,420,50,0,40,0,10,40,40,10,10,0,0,80,710.00 
LSOA,E01002795,Islington 013D,370,120,0,0,90,60,0,60,10,70,120,30,10,940.00 
LSOA,E01002796,Islington 013E,310,90,0,0,0,40,10,70,0,0,0,0,10,530.00 
MSOA,E02000567,Islington 014,"2,180","1,110",10,100,140,210,490,230,80,60,390,140,80,5220.00 
LSOA,E01002716,Islington 014A,160,80,0,0,110,60,250,160,30,40,190,0,10,1080.00 
LSOA,E01002718,Islington 014B,720,50,0,20,0,0,20,0,0,0,10,0,0,820.00 
LSOA,E01002721,Islington 014C,340,350,0,0,0,40,0,20,0,10,80,0,10,860.00 
LSOA,E01002775,Islington 014D,350,150,0,30,30,0,80,0,40,10,20,0,20,720.00 
LSOA,E01002776,Islington 014E,330,50,0,30,0,110,150,50,0,0,90,140,10,940.00 
LSOA,E01002780,Islington 014F,290,440,0,20,0,0,0,0,10,0,0,0,30,790.00 
MSOA,E02000568,Islington 015,630,130,0,0,100,280,500,"1,160",170,50,940,670,140,4770.00 
LSOA,E01002708,Islington 015A,130,0,0,0,0,0,90,320,130,10,250,0,10,940.00 
LSOA,E01002712,Islington 015B,200,70,0,0,0,40,60,60,30,20,50,0,40,560.00 
LSOA,E01002713,Islington 015C,80,40,0,0,100,30,90,420,0,0,60,20,30,860.00 
LSOA,E01002765,Islington 015D,170,20,0,0,0,110,0,330,0,10,390,210,40,1290.00 
LSOA,E01002766,Islington 015E,50,0,0,0,0,100,270,40,10,0,200,440,20,1130.00 
MSOA,E02000569,Islington 016,"1,320",150,470,320,520,420,360,660,170,240,250,0,80,4950.00 
LSOA,E01002717,Islington 016A,90,20,20,0,100,90,60,190,0,30,10,0,10,610.00 
LSOA,E01002719,Islington 016B,180,60,10,0,180,50,150,10,60,60,0,0,20,770.00 
LSOA,E01002720,Islington 016C,100,0,0,0,90,190,90,300,10,0,220,0,0,1010.00 
LSOA,E01002790,Islington 016D,350,0,180,0,10,0,0,80,50,40,20,0,10,740.00 
LSOA,E01002791,Islington 016E,350,20,40,120,60,10,60,60,20,10,0,0,30,780.00 
LSOA,E01002793,Islington 016F,250,40,220,200,80,90,0,10,30,100,10,0,20,1040.00 
MSOA,E02000570,Islington 017,"2,660",620,20,10,60,70,40,330,110,80,190,160,70,4410.00 
LSOA,E01002698,Islington 017A,460,210,20,0,30,10,20,70,0,40,150,120,10,1140.00 
LSOA,E01002699,Islington 017B,350,80,0,10,20,40,20,180,80,20,10,0,20,820.00 
LSOA,E01002700,Islington 017C,570,60,0,0,0,10,0,10,10,0,20,0,0,680.00 
LSOA,E01002714,Islington 017D,710,60,0,0,10,0,0,0,0,20,0,0,0,800.00 
LSOA,E01002792,Islington 017E,560,210,0,0,0,10,0,70,20,0,20,30,40,970.00 
MSOA,E02000571,Islington 018,"1,220",300,30,20,250,510,200,560,120,90,270,320,70,3960.00 
LSOA,E01002722,Islington 018A,140,160,0,0,0,150,40,90,10,0,80,30,0,690.00 
LSOA,E01002797,Islington 018B,130,80,30,20,10,110,0,220,90,70,80,10,40,880.00 
LSOA,E01002798,Islington 018C,690,50,0,0,0,50,10,60,20,0,40,110,20,1060.00 
LSOA,E01002799,Islington 018D,220,10,10,10,230,70,50,190,0,0,80,0,10,860.00 
LSOA,E01002800,Islington 018E,40,0,0,0,0,140,110,0,0,10,0,170,0,470.00 
MSOA,E02000572,Islington 019,380,110,0,230,780,440,130,800,160,20,540,10,50,3650.00 
LSOA,E01002694,Islington 019A,60,10,0,200,300,10,0,0,60,0,20,10,10,680.00 
LSOA,E01002697,Islington 019B,60,0,0,0,300,180,10,160,50,0,20,0,0,770.00 
LSOA,E01002709,Islington 019C,40,0,0,0,0,70,0,310,10,0,360,0,20,810.00 
LSOA,E01002710,Islington 019D,130,50,0,30,180,10,90,30,50,20,110,0,0,720.00 
LSOA,E01002715,Islington 019E,80,40,0,0,0,170,30,310,0,0,30,0,10,680.00 
MSOA,E02000573,Islington 020,"2,580",380,40,60,10,110,460,60,120,160,450,130,100,4680.00 
LSOA,E01002696,Islington 020A,630,130,20,60,0,30,0,10,0,30,70,0,10,980.00 
LSOA,E01002794,Islington 020B,520,70,10,0,0,0,0,0,30,130,140,10,50,960.00 
LSOA,E01002801,Islington 020C,580,80,0,0,0,40,100,10,10,0,30,10,20,880.00 
LSOA,E01002802,Islington 020D,460,60,0,0,0,0,70,0,80,0,60,0,20,750.00 
LSOA,E01002803,Islington 020E,390,50,10,0,0,40,280,40,0,0,170,110,10,1100.00 
MSOA,E02000574,Islington 021,"2,320",630,0,160,370,200,170,240,160,330,480,50,150,5260.00 
LSOA,E01002695,Islington 021A,170,20,0,90,60,110,10,210,50,20,90,0,20,850.00 
LSOA,E01002711,Islington 021B,540,100,0,60,30,10,0,20,20,160,150,50,60,1180.00 
LSOA,E01002727,Islington 021C,280,260,0,0,120,50,10,0,10,60,90,0,40,920.00 
LSOA,E01002728,Islington 021D,850,90,0,0,130,20,140,0,70,90,140,0,10,1540.00 
LSOA,E01002729,Islington 021E,490,180,0,20,40,20,0,0,0,10,10,0,20,780.00 
MSOA,E02000575,Islington 022,"1,730",230,90,340,320,670,720,240,150,530,"1,190",330,250,6780.00 
LSOA,E01002707,Islington 022B,180,70,0,0,0,90,330,0,30,90,170,210,10,1160.00 
LSOA,E01002723,Islington 022C,140,80,0,0,70,310,0,150,0,0,70,30,30,890.00 
LSOA,E01002724,Islington 022D,550,40,30,0,0,20,10,0,90,370,120,10,70,1300.00 
LSOA,E01002725,Islington 022E,60,20,10,10,0,90,350,20,0,0,20,0,20,600.00 
LSOA,E01002726,Islington 022F,280,20,10,310,40,20,20,50,20,40,50,0,20,870.00 
LSOA,E01033489,Islington 022G,400,0,50,0,0,0,0,10,0,30,460,70,10,1030.00 
LSOA,E01033490,Islington 022H,130,0,0,10,210,140,0,10,20,10,300,10,100,940.00 
MSOA,E02000576,Islington 023,920,80,40,270,310,820,940,400,0,150,600,750,240,5530.00 
LSOA,E01002701,Islington 023A,150,0,0,60,80,110,230,50,0,0,30,10,50,770.00 
LSOA,E01002702,Islington 023B,70,30,0,70,50,370,140,0,0,50,180,10,40,1010.00 
LSOA,E01002703,Islington 023C,60,0,0,80,170,20,180,140,0,0,120,480,30,1300.00 
LSOA,E01002704,Islington 023D,390,0,40,10,0,40,150,160,0,90,90,240,100,1310.00 
LSOA,E01002706,Islington 023E,250,50,0,40,0,270,240,50,0,10,190,10,40,1140.00 
LAU2,E09000020,Kensington and Chelsea,"56,300","2,160","1,320","6,110","1,920","3,310","2,980","4,850","2,380","1,930","2,340",750,"1,140",87490.00 
MSOA,E02000577,Kensington and Chelsea 001,430,0,0,190,20,300,720,730,410,20,260,380,150,3600.00 
LSOA,E01002852,Kensington and Chelsea 001A,80,0,0,190,0,120,50,140,0,20,240,260,70,1170.00 
LSOA,E01002853,Kensington and Chelsea 001B,110,0,0,0,0,0,40,260,10,0,0,70,0,490.00 
LSOA,E01002854,Kensington and Chelsea 001C,20,0,0,0,0,30,330,100,40,0,0,30,0,550.00 
LSOA,E01002855,Kensington and Chelsea 001D,210,0,0,0,20,30,40,160,300,0,10,10,0,790.00 
LSOA,E01002857,Kensington and Chelsea 001E,0,0,0,0,0,120,260,70,60,0,0,0,80,600.00 
MSOA,E02000578,Kensington and Chelsea 002,460,60,240,690,150,130,0,130,50,320,100,50,90,2460.00 
LSOA,E01002904,Kensington and Chelsea 002A,0,0,0,350,0,0,0,0,0,160,0,0,20,530.00 
LSOA,E01002905,Kensington and Chelsea 002B,280,10,0,0,130,130,0,40,30,0,30,0,0,660.00 
LSOA,E01002906,Kensington and Chelsea 002C,100,30,180,0,0,0,0,80,20,140,60,50,40,700.00 
LSOA,E01002907,Kensington and Chelsea 002D,80,20,60,340,20,0,0,0,0,20,20,0,30,560.00 
MSOA,E02000579,Kensington and Chelsea 003,"2,400",460,140,110,40,30,250,360,50,70,40,10,90,4040.00 
LSOA,E01002876,Kensington and Chelsea 003A,360,280,0,0,0,0,10,0,40,20,0,10,10,740.00 
LSOA,E01002877,Kensington and Chelsea 003B,110,80,0,50,10,10,230,90,10,0,20,0,30,650.00 
LSOA,E01002878,Kensington and Chelsea 003C,550,0,30,0,10,10,0,200,0,50,20,0,10,880.00 
LSOA,E01002908,Kensington and Chelsea 003D,260,100,100,70,0,0,0,50,0,0,10,0,30,600.00 
LSOA,E01002909,Kensington and Chelsea 003E,"1,120",0,0,0,20,0,0,30,0,0,0,0,0,1170.00 
MSOA,E02000580,Kensington and Chelsea 004,"3,540",10,0,10,50,240,110,330,250,30,40,0,30,4650.00 
LSOA,E01002829,Kensington and Chelsea 004A,730,0,0,0,0,0,0,70,0,0,10,0,0,810.00 
LSOA,E01002830,Kensington and Chelsea 004B,510,10,0,10,10,70,30,40,230,10,20,0,10,950.00 
LSOA,E01002831,Kensington and Chelsea 004C,680,0,0,0,20,30,70,210,10,10,0,0,10,1030.00 
LSOA,E01002832,Kensington and Chelsea 004D,730,10,0,0,30,130,20,10,10,10,10,0,10,960.00 
LSOA,E01002856,Kensington and Chelsea 004E,900,0,0,0,0,0,0,0,0,0,0,0,10,910.00 
MSOA,E02000581,Kensington and Chelsea 005,560,0,130,230,160,390,400,"1,010",150,110,130,0,60,3330.00 
LSOA,E01002870,Kensington and Chelsea 005A,70,0,40,30,40,220,30,10,60,80,40,0,10,620.00 
LSOA,E01002872,Kensington and Chelsea 005B,170,0,30,60,0,70,40,290,20,20,40,0,10,750.00 
LSOA,E01002879,Kensington and Chelsea 005C,150,0,10,50,40,50,60,320,0,10,20,0,20,710.00 
LSOA,E01002880,Kensington and Chelsea 005D,0,0,0,0,50,20,270,230,70,0,10,0,10,650.00 
LSOA,E01002881,Kensington and Chelsea 005E,160,0,50,100,40,40,10,160,10,0,20,0,20,600.00 
MSOA,E02000582,Kensington and Chelsea 006,"3,300",40,0,220,140,150,100,30,130,10,20,0,50,4180.00 
LSOA,E01002882,Kensington and Chelsea 006A,580,0,0,20,100,0,40,0,10,0,0,0,10,750.00 
LSOA,E01002883,Kensington and Chelsea 006B,440,0,0,160,20,140,0,20,40,0,0,0,30,850.00 
LSOA,E01002884,Kensington and Chelsea 006C,760,0,0,0,0,0,20,0,10,0,0,0,0,790.00 
LSOA,E01002885,Kensington and Chelsea 006D,880,0,0,0,10,0,40,0,0,0,0,0,0,930.00 
LSOA,E01002886,Kensington and Chelsea 006E,640,40,0,30,10,10,10,10,80,10,20,0,10,870.00 
MSOA,E02000583,Kensington and Chelsea 007,"3,040",30,0,80,50,120,150,110,80,0,50,10,30,3750.00 
LSOA,E01002833,Kensington and Chelsea 007A,780,0,0,0,10,0,40,0,20,0,0,0,10,860.00 
LSOA,E01002871,Kensington and Chelsea 007B,570,10,0,30,0,60,50,20,10,0,10,0,10,780.00 
LSOA,E01002873,Kensington and Chelsea 007C,530,0,0,0,0,10,10,60,30,0,40,0,0,680.00 
LSOA,E01002874,Kensington and Chelsea 007D,610,0,0,0,20,20,0,30,20,0,0,0,0,700.00 
LSOA,E01002875,Kensington and Chelsea 007E,540,10,0,50,10,30,50,0,0,0,10,0,0,720.00 
MSOA,E02000584,Kensington and Chelsea 008,"3,090",50,70,520,120,40,90,180,10,40,230,20,70,4510.00 
LSOA,E01002824,Kensington and Chelsea 008A,680,0,0,0,40,0,10,0,0,0,0,0,0,740.00 
LSOA,E01002825,Kensington and Chelsea 008B,480,0,0,130,40,20,20,90,0,10,210,0,10,1010.00 
LSOA,E01002826,Kensington and Chelsea 008C,480,50,50,240,30,10,30,0,0,20,0,0,10,930.00 
LSOA,E01002827,Kensington and Chelsea 008D,860,0,10,100,0,0,30,0,0,0,0,10,40,1070.00 
LSOA,E01002828,Kensington and Chelsea 008E,580,0,10,40,10,10,0,90,0,0,10,0,0,770.00 
MSOA,E02000585,Kensington and Chelsea 009,"2,910",20,30,140,40,460,170,160,0,190,90,10,40,4270.00 
LSOA,E01002864,Kensington and Chelsea 009A,360,0,20,10,0,190,50,40,0,0,0,0,10,690.00 
LSOA,E01002866,Kensington and Chelsea 009B,820,0,0,0,40,10,10,0,0,0,0,0,10,900.00 
LSOA,E01002867,Kensington and Chelsea 009C,600,0,0,90,0,90,0,30,0,160,60,10,0,1050.00 
LSOA,E01002868,Kensington and Chelsea 009D,500,0,0,0,0,160,100,50,0,0,0,0,10,820.00 
LSOA,E01002869,Kensington and Chelsea 009E,640,20,0,40,0,20,10,40,0,30,20,0,10,810.00 
MSOA,E02000586,Kensington and Chelsea 010,"3,810",30,70,60,20,100,40,110,50,20,50,0,40,4400.00 
LSOA,E01002887,Kensington and Chelsea 010A,820,0,0,0,0,60,0,0,0,0,20,0,10,920.00 
LSOA,E01002889,Kensington and Chelsea 010B,700,30,0,40,0,0,0,0,30,0,20,0,10,820.00 
LSOA,E01002890,Kensington and Chelsea 010C,630,0,70,0,10,10,0,10,0,20,10,0,10,780.00 
LSOA,E01002891,Kensington and Chelsea 010D,700,0,0,30,0,20,40,90,10,0,0,0,10,900.00 
LSOA,E01002892,Kensington and Chelsea 010E,960,0,0,0,10,0,0,0,10,0,0,0,0,980.00 
MSOA,E02000587,Kensington and Chelsea 011,"2,710",140,50,440,110,100,50,10,190,0,50,10,30,3900.00 
LSOA,E01002813,Kensington and Chelsea 011A,760,0,0,0,60,10,10,0,10,0,10,0,10,870.00 
LSOA,E01002815,Kensington and Chelsea 011B,360,0,0,270,0,40,30,10,80,0,30,0,0,830.00 
LSOA,E01002816,Kensington and Chelsea 011C,560,90,0,0,0,0,0,0,50,0,0,0,20,720.00 
LSOA,E01002817,Kensington and Chelsea 011D,590,20,0,60,20,40,10,0,60,0,10,0,10,820.00 
LSOA,E01002865,Kensington and Chelsea 011E,440,30,50,110,20,20,0,0,0,0,0,0,0,660.00 
MSOA,E02000588,Kensington and Chelsea 012,"4,540",170,80,210,140,180,220,30,140,10,100,20,40,5860.00 
LSOA,E01002818,Kensington and Chelsea 012A,"1,080",80,30,160,110,110,0,10,30,0,10,10,10,1610.00 
LSOA,E01002819,Kensington and Chelsea 012B,900,40,0,10,20,10,60,10,10,0,40,10,10,1120.00 
LSOA,E01002859,Kensington and Chelsea 012C,930,40,0,10,0,0,20,0,70,0,40,0,20,1110.00 
LSOA,E01002860,Kensington and Chelsea 012D,850,0,20,0,0,40,0,0,30,0,10,0,10,960.00 
LSOA,E01002863,Kensington and Chelsea 012E,770,20,30,40,10,30,150,10,10,0,10,0,0,1050.00 
MSOA,E02000589,Kensington and Chelsea 013,"3,820",0,0,30,0,50,0,160,130,650,30,10,40,4920.00 
LSOA,E01002812,Kensington and Chelsea 013A,510,0,0,0,0,20,0,140,70,220,0,0,0,970.00 
LSOA,E01002834,Kensington and Chelsea 013B,790,0,0,0,0,0,0,0,0,0,0,0,0,800.00 
LSOA,E01002839,Kensington and Chelsea 013C,"1,040",0,0,0,0,20,0,20,0,0,10,0,20,1110.00 
LSOA,E01002850,Kensington and Chelsea 013D,710,0,0,0,0,0,0,0,20,30,10,0,20,790.00 
LSOA,E01002888,Kensington and Chelsea 013E,770,0,0,30,0,0,0,0,30,400,10,10,0,1240.00 
MSOA,E02000590,Kensington and Chelsea 014,"2,010",490,50,"1,670",280,270,80,10,30,0,10,10,10,4910.00 
LSOA,E01002821,Kensington and Chelsea 014A,690,0,10,160,20,0,10,0,0,0,0,0,0,890.00 
LSOA,E01002823,Kensington and Chelsea 014B,320,300,0,80,40,0,20,0,0,0,0,10,0,770.00 
LSOA,E01002858,Kensington and Chelsea 014C,160,0,0,630,0,210,10,0,0,0,0,0,0,1020.00 
LSOA,E01002861,Kensington and Chelsea 014D,610,40,40,90,60,10,40,0,0,0,10,0,10,900.00 
LSOA,E01002862,Kensington and Chelsea 014E,230,150,0,720,160,50,0,10,20,0,0,0,0,1340.00 
MSOA,E02000591,Kensington and Chelsea 015,"2,920",0,110,0,10,40,80,120,120,120,300,60,30,3900.00 
LSOA,E01002814,Kensington and Chelsea 015A,350,0,110,0,0,0,80,120,0,80,290,50,10,1090.00 
LSOA,E01002847,Kensington and Chelsea 015B,840,0,0,0,0,10,0,0,40,0,0,0,0,890.00 
LSOA,E01002848,Kensington and Chelsea 015C,840,0,0,0,0,30,0,0,0,0,10,0,0,880.00 
LSOA,E01002851,Kensington and Chelsea 015D,890,0,0,0,10,0,0,0,80,40,0,10,10,1040.00 
MSOA,E02000592,Kensington and Chelsea 016,"3,560",30,0,140,90,90,10,0,190,150,100,0,20,4380.00 
LSOA,E01002820,Kensington and Chelsea 016A,730,30,0,0,50,0,10,0,30,10,0,0,0,850.00 
LSOA,E01002822,Kensington and Chelsea 016B,570,0,0,80,0,0,0,0,0,70,0,0,0,730.00 
LSOA,E01002835,Kensington and Chelsea 016C,810,0,0,0,30,90,0,0,120,70,10,0,0,1130.00 
LSOA,E01002836,Kensington and Chelsea 016D,850,0,0,10,0,0,0,0,0,0,0,0,10,870.00 
LSOA,E01002837,Kensington and Chelsea 016E,600,0,0,50,0,0,0,0,50,0,80,0,10,790.00 
MSOA,E02000593,Kensington and Chelsea 017,"3,890",0,0,90,20,50,120,60,10,30,80,10,70,4410.00 
LSOA,E01002846,Kensington and Chelsea 017A,770,0,0,0,0,20,0,40,0,0,20,0,0,850.00 
LSOA,E01002849,Kensington and Chelsea 017B,720,0,0,80,0,10,0,0,0,0,40,0,10,860.00 
LSOA,E01002893,Kensington and Chelsea 017C,870,0,0,10,0,20,120,0,0,0,0,0,0,1030.00 
LSOA,E01002894,Kensington and Chelsea 017D,790,0,0,0,10,0,0,0,10,10,0,10,50,880.00 
LSOA,E01002898,Kensington and Chelsea 017E,740,0,0,0,0,10,0,20,0,10,10,0,10,800.00 
MSOA,E02000594,Kensington and Chelsea 018,"2,580",140,70,740,140,120,100,80,170,0,120,0,40,4300.00 
LSOA,E01002899,Kensington and Chelsea 018A,180,60,0,510,0,0,60,10,30,0,20,0,0,870.00 
LSOA,E01002900,Kensington and Chelsea 018B,670,80,0,0,0,10,0,0,20,0,0,0,0,790.00 
LSOA,E01002901,Kensington and Chelsea 018C,410,0,60,40,20,30,0,40,30,0,10,0,10,660.00 
LSOA,E01002902,Kensington and Chelsea 018D,670,0,10,180,130,80,0,0,30,0,90,0,20,1190.00 
LSOA,E01002903,Kensington and Chelsea 018E,660,0,0,20,0,0,40,20,60,0,0,0,0,800.00 
MSOA,E02000595,Kensington and Chelsea 019,"2,450",360,180,210,110,290,190,240,20,50,50,30,30,4200.00 
LSOA,E01002844,Kensington and Chelsea 019A,580,10,30,60,10,20,0,140,10,40,10,10,10,920.00 
LSOA,E01002845,Kensington and Chelsea 019B,360,230,0,10,10,30,110,10,10,10,0,0,0,770.00 
LSOA,E01002910,Kensington and Chelsea 019C,490,10,30,0,0,160,40,80,0,0,20,10,0,830.00 
LSOA,E01002911,Kensington and Chelsea 019D,640,50,60,0,0,20,0,0,0,10,20,0,0,810.00 
LSOA,E01002914,Kensington and Chelsea 019E,380,60,60,140,90,80,30,10,0,0,10,10,10,870.00 
MSOA,E02000596,Kensington and Chelsea 020,"2,810",80,60,290,20,150,70,40,90,30,160,90,80,3970.00 
LSOA,E01002838,Kensington and Chelsea 020A,560,30,0,40,0,10,20,0,20,0,0,0,20,690.00 
LSOA,E01002895,Kensington and Chelsea 020B,490,0,0,30,20,30,20,10,10,30,10,10,50,700.00 
LSOA,E01002896,Kensington and Chelsea 020C,850,50,0,0,0,0,0,0,40,0,0,0,0,940.00 
LSOA,E01002897,Kensington and Chelsea 020D,630,0,0,20,0,50,0,0,0,0,30,80,0,810.00 
LSOA,E01002912,Kensington and Chelsea 020E,290,0,60,200,0,70,40,20,20,0,120,10,20,840.00 
MSOA,E02000597,Kensington and Chelsea 021,"1,500",60,60,70,230,0,10,960,100,110,330,40,110,3570.00 
LSOA,E01002840,Kensington and Chelsea 021A,120,0,60,60,180,0,0,130,50,0,10,0,100,730.00 
LSOA,E01002841,Kensington and Chelsea 021B,600,0,0,0,0,0,0,60,40,0,20,0,0,730.00 
LSOA,E01002842,Kensington and Chelsea 021C,0,0,0,0,0,0,0,510,0,0,0,0,0,510.00 
LSOA,E01002843,Kensington and Chelsea 021D,270,60,0,0,0,0,0,210,10,70,0,0,0,630.00 
LSOA,E01002913,Kensington and Chelsea 021E,510,0,0,0,50,0,10,50,0,30,290,40,10,990.00 
LAU2,E09000022,Lambeth,"53,530","4,620","4,020","16,450","8,090","9,290","8,320","8,660","5,050","4,120","8,980","3,930","1,420",136490.00 
MSOA,E02000619,Lambeth 002,520,30,50,490,70,350,"1,030",480,240,70,580,100,10,4020.00 
LSOA,E01003015,Lambeth 002A,120,0,50,400,50,40,30,0,30,10,40,0,0,770.00 
LSOA,E01003108,Lambeth 002B,20,0,0,0,20,240,290,120,0,10,100,10,0,800.00 
LSOA,E01003110,Lambeth 002C,370,30,0,50,0,10,40,120,60,30,120,80,10,910.00 
LSOA,E01003111,Lambeth 002D,0,0,0,10,0,0,450,200,0,0,30,0,0,690.00 
LSOA,E01003112,Lambeth 002E,20,0,0,40,0,60,230,40,150,20,290,10,0,860.00 
MSOA,E02000620,Lambeth 003,910,260,300,"1,190",220,120,460,130,10,240,800,90,0,4720.00 
LSOA,E01003101,Lambeth 003A,150,0,0,460,0,20,0,0,0,100,10,0,0,740.00 
LSOA,E01003105,Lambeth 003B,20,80,90,270,40,0,140,40,10,0,70,10,0,760.00 
LSOA,E01003106,Lambeth 003C,250,80,130,60,0,50,110,90,0,50,270,10,0,1090.00 
LSOA,E01003107,Lambeth 003D,420,100,10,120,0,0,170,0,0,20,120,0,0,950.00 
LSOA,E01003109,Lambeth 003E,70,0,70,280,180,50,40,0,0,70,340,70,0,1190.00 
MSOA,E02000621,Lambeth 004,"1,840",20,100,340,430,140,190,300,110,250,"1,260",450,150,5580.00 
LSOA,E01003102,Lambeth 004A,420,10,0,30,0,10,140,0,0,130,100,110,30,960.00 
LSOA,E01003104,Lambeth 004C,440,10,50,60,20,60,10,20,100,20,30,0,10,800.00 
LSOA,E01003122,Lambeth 004D,300,0,0,10,200,20,0,20,10,70,230,60,10,940.00 
LSOA,E01003129,Lambeth 004E,480,0,0,100,120,20,40,0,10,0,10,0,0,770.00 
LSOA,E01033207,Lambeth 004F,200,10,50,130,100,40,0,260,0,0,0,0,10,790.00 
LSOA,E01033208,Lambeth 004G,0,0,0,0,0,0,0,0,0,30,900,280,110,1320.00 
MSOA,E02000622,Lambeth 005,"1,700",40,50,460,140,180,170,220,470,150,110,100,30,3810.00 
LSOA,E01003098,Lambeth 005A,270,20,0,70,90,30,0,130,40,10,0,0,0,670.00 
LSOA,E01003099,Lambeth 005B,160,0,10,360,30,60,0,0,0,20,10,50,0,710.00 
LSOA,E01003100,Lambeth 005C,700,0,0,20,0,30,0,0,10,60,60,30,10,910.00 
LSOA,E01003180,Lambeth 005D,260,10,0,0,20,40,90,50,270,50,30,20,10,840.00 
LSOA,E01003183,Lambeth 005E,310,0,40,0,0,20,90,40,150,10,10,0,10,680.00 
MSOA,E02000623,Lambeth 006,570,0,0,300,350,870,850,270,40,140,40,0,20,3440.00 
LSOA,E01003097,Lambeth 006A,0,0,0,120,340,10,10,240,30,0,0,0,0,750.00 
LSOA,E01003121,Lambeth 006B,0,0,0,0,0,650,40,0,0,0,0,0,0,700.00 
LSOA,E01003123,Lambeth 006C,370,0,0,110,10,30,50,10,10,90,20,0,10,710.00 
LSOA,E01003124,Lambeth 006D,180,0,0,0,0,0,390,0,0,10,0,0,0,570.00 
LSOA,E01003125,Lambeth 006E,20,0,0,70,0,190,360,10,0,40,20,0,0,710.00 
MSOA,E02000624,Lambeth 007,"1,220",100,100,490,30,300,310,470,280,140,80,370,80,3960.00 
LSOA,E01003181,Lambeth 007A,230,50,0,70,20,20,110,40,140,20,0,0,10,700.00 
LSOA,E01003184,Lambeth 007B,20,0,0,370,0,20,190,0,0,0,0,0,0,600.00 
LSOA,E01003185,Lambeth 007C,480,10,40,0,0,240,10,0,10,0,0,0,10,800.00 
LSOA,E01003186,Lambeth 007D,480,50,50,10,20,20,10,0,70,40,70,340,10,1150.00 
LSOA,E01003187,Lambeth 007E,10,0,0,30,0,0,0,430,70,80,0,30,50,700.00 
MSOA,E02000625,Lambeth 008,440,30,20,"1,020",720,700,40,200,20,40,150,400,20,3790.00 
LSOA,E01003089,Lambeth 008A,70,0,0,280,220,70,0,0,0,10,30,80,10,760.00 
LSOA,E01003091,Lambeth 008B,160,20,0,490,0,0,0,0,0,0,0,0,0,680.00 
LSOA,E01003092,Lambeth 008C,50,10,20,160,170,10,10,200,10,10,70,240,10,950.00 
LSOA,E01003126,Lambeth 008D,110,0,0,70,0,410,30,10,10,20,10,70,0,720.00 
LSOA,E01003128,Lambeth 008E,50,0,0,30,320,220,0,0,0,0,40,10,0,680.00 
MSOA,E02000626,Lambeth 009,740,130,30,590,270,690,180,640,30,40,140,50,20,3540.00 
LSOA,E01003046,Lambeth 009A,110,0,0,180,170,150,0,160,0,0,10,0,0,770.00 
LSOA,E01003048,Lambeth 009B,40,0,0,110,0,530,0,0,0,0,70,0,0,750.00 
LSOA,E01003075,Lambeth 009C,30,0,20,260,110,0,180,60,0,10,40,0,0,700.00 
LSOA,E01003182,Lambeth 009D,470,60,0,40,0,10,0,100,20,0,10,30,10,750.00 
LSOA,E01003188,Lambeth 009E,100,80,10,0,0,10,0,320,20,30,10,10,10,580.00 
MSOA,E02000627,Lambeth 010,"1,810",30,0,270,300,430,420,60,30,50,220,590,130,4320.00 
LSOA,E01003088,Lambeth 010A,300,0,0,0,0,350,40,0,20,0,20,0,0,730.00 
LSOA,E01003093,Lambeth 010B,30,0,0,0,280,80,170,10,0,10,70,310,0,960.00 
LSOA,E01003094,Lambeth 010C,410,10,0,40,20,0,170,0,0,0,30,0,20,690.00 
LSOA,E01003096,Lambeth 010D,760,10,0,0,10,0,0,0,0,30,80,240,100,1230.00 
LSOA,E01003127,Lambeth 010E,320,10,0,230,0,0,40,50,0,0,20,30,0,710.00 
MSOA,E02000628,Lambeth 011,880,20,50,70,120,640,380,990,90,120,430,240,50,4060.00 
LSOA,E01003045,Lambeth 011A,150,0,30,0,0,0,110,150,0,10,270,0,10,730.00 
LSOA,E01003047,Lambeth 011B,310,10,0,10,0,220,0,90,40,50,60,10,10,810.00 
