Geography2,Area Code3,Area,Pre 1900,1900 to 1918,1919 to 1929,1930 to 1939,1945 to 1954,1955 to 1964,1965 to 1972,1973 to 1982,1983 to 1992,1993 to 1999,2000 to 2009,2010 to 2012,Unknown1,Total
LSOA,E01000971,Camden 010C,490,110,0,0,0,0,10,20,0,0,0,0,0,630.00 
LSOA,E01000972,Camden 010D,380,0,0,0,0,10,0,270,0,190,160,0,0,1020.00 
LSOA,E01000973,Camden 010E,720,30,0,20,0,0,0,30,20,40,30,100,0,1010.00 
MSOA,E02000176,Camden 011,"2,370",110,60,460,70,40,80,120,90,20,10,10,20,3440.00 
LSOA,E01000842,Camden 011A,610,0,0,0,50,10,60,20,10,0,0,0,0,760.00 
LSOA,E01000844,Camden 011B,830,0,40,0,20,0,10,10,0,20,0,0,0,920.00 
LSOA,E01000848,Camden 011C,610,0,10,100,0,30,10,60,20,0,0,10,10,870.00 
LSOA,E01000849,Camden 011D,320,100,10,360,0,0,0,30,70,0,0,0,0,890.00 
MSOA,E02000177,Camden 012,"1,340",0,0,620,420,410,490,490,40,50,100,260,50,4260.00 
LSOA,E01000900,Camden 012A,590,0,0,0,0,60,0,90,0,0,20,0,0,770.00 
LSOA,E01000902,Camden 012B,180,0,0,0,200,150,70,0,0,0,0,40,0,640.00 
LSOA,E01000904,Camden 012C,260,0,0,130,130,120,0,180,10,50,70,210,40,1200.00 
LSOA,E01000905,Camden 012D,80,0,0,130,30,0,410,170,0,0,0,10,0,830.00 
LSOA,E01000906,Camden 012E,230,0,0,370,60,80,20,40,30,0,0,0,0,830.00 
MSOA,E02000178,Camden 013,"2,760",190,0,120,140,50,220,510,60,40,150,130,40,4410.00 
LSOA,E01000875,Camden 013A,510,60,0,120,10,30,0,50,20,0,30,40,10,880.00 
LSOA,E01000876,Camden 013B,350,0,0,0,110,0,30,250,0,20,10,30,0,800.00 
LSOA,E01000931,Camden 013C,390,50,0,0,10,20,200,140,10,0,110,60,20,990.00 
LSOA,E01000932,Camden 013D,770,80,0,0,10,0,0,60,0,10,0,0,10,940.00 
LSOA,E01000974,Camden 013E,740,0,0,0,0,0,0,10,30,10,10,0,0,800.00 
MSOA,E02000179,Camden 014,"1,060",10,20,320,0,220,"1,000",210,90,40,80,10,10,3060.00 
LSOA,E01000843,Camden 014A,440,10,10,320,0,40,40,30,20,0,0,0,0,900.00 
LSOA,E01000845,Camden 014B,420,10,10,0,0,110,120,30,20,30,0,10,0,760.00 
LSOA,E01000846,Camden 014C,90,0,0,0,0,30,450,80,10,10,0,0,0,660.00 
LSOA,E01000847,Camden 014D,120,0,0,0,0,40,390,70,30,0,80,0,0,730.00 
MSOA,E02000180,Camden 015,"1,900",10,0,100,240,150,90,520,270,30,270,30,20,3610.00 
LSOA,E01000864,Camden 015A,650,0,0,0,0,30,10,0,40,0,20,0,0,750.00 
LSOA,E01000865,Camden 015B,360,0,0,0,0,30,20,30,70,10,0,10,0,540.00 
LSOA,E01000867,Camden 015C,220,0,0,0,240,20,40,50,50,10,30,10,10,680.00 
LSOA,E01000868,Camden 015D,80,0,0,0,0,40,0,380,100,0,10,0,0,610.00 
LSOA,E01000869,Camden 015E,600,0,0,100,0,30,20,50,10,10,210,0,10,1040.00 
MSOA,E02000181,Camden 016,"3,220",70,0,230,10,300,70,50,50,10,20,30,50,4110.00 
LSOA,E01000962,Camden 016A,800,10,0,0,0,20,10,10,10,0,10,0,0,870.00 
LSOA,E01000964,Camden 016B,620,0,0,10,0,180,20,0,0,0,0,0,10,840.00 
LSOA,E01000965,Camden 016C,460,0,0,110,0,100,50,30,20,0,0,30,30,830.00 
LSOA,E01000966,Camden 016D,730,0,0,0,0,0,0,10,0,0,0,0,10,760.00 
LSOA,E01000968,Camden 016E,620,60,0,100,10,0,0,0,10,0,10,0,0,810.00 
MSOA,E02000182,Camden 017,960,70,150,250,0,"1,220",240,90,120,50,220,10,40,3420.00 
LSOA,E01000960,Camden 017A,520,20,0,90,0,190,70,0,10,10,10,0,0,930.00 
LSOA,E01000961,Camden 017B,80,0,0,0,0,520,90,0,10,10,20,10,40,790.00 
LSOA,E01000963,Camden 017C,80,0,140,20,0,450,10,80,90,0,170,0,0,1040.00 
LSOA,E01000967,Camden 017D,280,40,20,130,0,60,80,10,10,20,20,0,0,660.00 
MSOA,E02000183,Camden 018,"2,310",0,0,20,200,50,550,290,60,300,310,20,10,4110.00 
LSOA,E01000857,Camden 018A,420,0,0,0,100,0,190,20,10,0,0,0,0,740.00 
LSOA,E01000858,Camden 018B,50,0,0,10,90,10,70,80,50,220,230,0,0,790.00 
LSOA,E01000859,Camden 018C,720,0,0,0,0,10,10,50,0,0,10,10,0,810.00 
LSOA,E01000860,Camden 018D,480,0,0,0,0,20,260,40,0,0,0,0,0,800.00 
LSOA,E01000862,Camden 018E,640,0,0,10,10,10,30,110,0,80,60,10,0,960.00 
MSOA,E02000184,Camden 019,"1,310",0,0,80,140,310,820,40,630,70,340,100,10,3860.00 
LSOA,E01000856,Camden 019A,300,0,0,0,140,80,10,20,70,20,10,50,0,700.00 
LSOA,E01000861,Camden 019B,600,0,0,80,0,0,0,10,30,20,30,10,10,780.00 
LSOA,E01000957,Camden 019C,70,0,0,0,0,10,250,10,410,20,40,0,0,810.00 
LSOA,E01000958,Camden 019D,340,0,0,0,0,80,40,10,120,10,250,40,0,890.00 
LSOA,E01000959,Camden 019E,10,0,0,0,0,150,520,0,0,0,10,10,0,690.00 
MSOA,E02000185,Camden 020,"1,170",20,0,230,370,380,580,"1,120",10,140,260,20,20,4310.00 
LSOA,E01000929,Camden 020A,100,0,0,0,50,160,260,40,0,10,40,0,0,660.00 
LSOA,E01000930,Camden 020B,230,0,0,120,140,170,100,160,0,110,150,0,10,1190.00 
LSOA,E01000933,Camden 020C,620,20,0,20,10,10,20,130,10,10,20,20,0,860.00 
LSOA,E01000934,Camden 020D,90,0,0,30,170,40,0,410,0,20,60,0,0,810.00 
LSOA,E01000935,Camden 020E,130,0,0,50,0,0,210,390,0,0,0,0,0,780.00 
MSOA,E02000186,Camden 021,"1,990",10,0,180,120,190,190,170,60,130,300,300,40,3680.00 
LSOA,E01000863,Camden 021A,520,0,0,0,0,0,0,10,0,50,120,100,20,840.00 
LSOA,E01000946,Camden 021B,270,0,0,130,50,30,170,70,10,0,130,190,0,1040.00 
LSOA,E01000947,Camden 021C,650,10,0,60,20,10,0,70,20,60,30,10,10,920.00 
LSOA,E01000948,Camden 021D,560,0,0,0,40,150,20,20,30,20,20,0,10,880.00 
MSOA,E02000187,Camden 022,520,110,280,740,240,110,630,460,50,60,140,610,90,4020.00 
LSOA,E01000952,Camden 022A,180,0,0,80,120,50,200,40,20,0,0,0,0,690.00 
LSOA,E01000953,Camden 022B,40,0,60,150,100,0,40,290,0,0,0,570,50,1310.00 
LSOA,E01000954,Camden 022C,80,0,160,130,0,0,320,0,0,0,0,0,0,690.00 
LSOA,E01000955,Camden 022D,90,0,60,120,20,50,60,120,20,0,50,0,40,650.00 
LSOA,E01000956,Camden 022E,130,110,0,260,0,10,0,0,10,50,80,30,10,690.00 
MSOA,E02000188,Camden 023,380,70,0,350,300,"1,390",160,170,110,250,150,10,10,3340.00 
LSOA,E01000944,Camden 023A,70,0,0,0,0,460,20,0,0,60,0,0,0,610.00 
LSOA,E01000945,Camden 023B,270,10,0,0,0,30,70,60,100,190,90,10,0,830.00 
LSOA,E01000949,Camden 023C,20,60,0,350,60,150,50,0,10,0,40,0,0,750.00 
LSOA,E01000950,Camden 023D,20,0,0,0,180,340,20,0,0,0,10,0,0,560.00 
LSOA,E01000951,Camden 023E,0,0,0,0,60,410,0,110,0,0,10,0,0,590.00 
MSOA,E02000189,Camden 024,"1,290",20,0,160,260,60,20,150,80,90,170,0,40,2360.00 
LSOA,E01000936,Camden 024A,240,0,0,140,0,0,0,40,50,50,60,0,30,600.00 
LSOA,E01000938,Camden 024B,570,10,0,0,0,0,10,20,10,20,100,0,10,760.00 
LSOA,E01000939,Camden 024C,150,0,0,20,260,0,10,20,0,20,10,0,0,500.00 
LSOA,E01000940,Camden 024D,340,10,0,0,0,60,0,70,20,0,0,0,0,500.00 
MSOA,E02000190,Camden 025,"1,520",660,0,150,30,330,640,50,70,60,120,10,30,3650.00 
LSOA,E01000853,Camden 025A,240,130,0,0,0,10,420,30,20,0,10,0,10,850.00 
LSOA,E01000937,Camden 025B,240,40,0,100,10,40,220,20,0,0,110,0,10,770.00 
LSOA,E01000941,Camden 025C,190,40,0,50,20,250,0,0,0,0,0,0,10,560.00 
LSOA,E01000942,Camden 025D,240,360,0,0,0,30,0,0,20,0,0,10,0,660.00 
LSOA,E01000943,Camden 025E,610,90,0,0,0,0,0,0,30,60,0,0,0,810.00 
MSOA,E02000191,Camden 026,"1,410",100,10,490,0,60,20,310,130,270,470,40,40,3340.00 
LSOA,E01000850,Camden 026A,490,0,0,40,0,0,10,100,40,40,30,20,10,790.00 
LSOA,E01000851,Camden 026B,600,0,10,10,0,20,10,80,30,100,50,20,10,950.00 
LSOA,E01000852,Camden 026C,80,80,0,250,0,30,0,0,10,70,330,0,10,860.00 
LSOA,E01000854,Camden 026D,230,10,0,190,0,10,0,140,40,50,60,0,10,740.00 
MSOA,E02000192,Camden 027,"1,230",460,10,110,190,350,20,290,30,340,600,40,70,3720.00 
LSOA,E01000915,Camden 027A,180,0,10,50,170,130,20,10,0,40,10,0,0,630.00 
LSOA,E01000916,Camden 027B,240,130,0,0,0,50,0,80,0,200,400,10,30,1130.00 
LSOA,E01000917,Camden 027C,220,310,0,50,20,50,0,120,20,10,120,0,0,930.00 
LSOA,E01000920,Camden 027D,590,20,0,0,0,120,0,80,10,90,60,20,30,1030.00 
MSOA,E02000193,Camden 028,"1,960",170,0,730,80,150,140,150,260,300,350,170,40,4530.00 
LSOA,E01000855,Camden 028A,580,50,0,540,0,30,30,10,10,10,30,10,0,1290.00 
LSOA,E01000914,Camden 028B,450,80,0,140,80,30,30,50,20,20,180,50,10,1140.00 
LSOA,E01000918,Camden 028C,540,10,0,10,0,30,70,60,90,100,80,10,20,1020.00 
LSOA,E01000919,Camden 028D,390,40,0,40,0,60,10,50,150,170,60,110,10,1080.00 
LAU2,E09000001,City of London,"1,350",80,50,50,140,290,"2,650",280,100,470,670,390,30,6530.00 
MSOA,E02000001,City of London 001,"1,350",80,50,50,140,290,"2,650",280,100,470,670,390,30,6530.00 
LSOA,E01000001,City of London 001A,60,0,0,0,0,0,850,10,0,50,80,0,0,1050.00 
LSOA,E01000002,City of London 001B,10,0,0,0,0,70,910,0,10,0,0,280,0,1270.00 
LSOA,E01000003,City of London 001C,20,0,0,0,0,20,780,0,0,60,40,0,0,910.00 
LSOA,E01000005,City of London 001E,90,0,0,20,0,140,110,160,80,0,10,80,0,690.00 
LSOA,E01032739,City of London 001F,600,40,40,0,20,50,0,110,0,170,330,30,10,1400.00 
LSOA,E01032740,City of London 001G,580,30,10,40,120,10,10,0,10,180,210,0,10,1210.00 
LAU2,E09000012,Hackney,"33,630","6,600","1,820","7,580","10,210","10,000","6,060","6,410","3,640","4,150","10,580","5,110","1,370",107150.00 
MSOA,E02000345,Hackney 001,970,440,70,270,190,80,140,110,170,20,280,20,10,2760.00 
LSOA,E01001808,Hackney 001A,280,70,20,100,0,30,10,0,0,0,10,10,0,530.00 
LSOA,E01001809,Hackney 001B,210,110,0,100,0,20,50,60,20,10,20,0,0,600.00 
LSOA,E01001814,Hackney 001C,280,70,0,10,40,10,20,0,30,10,160,0,0,640.00 
LSOA,E01001823,Hackney 001D,90,40,10,20,130,0,60,0,110,0,90,0,0,540.00 
LSOA,E01001825,Hackney 001E,120,150,40,40,20,20,0,40,0,10,0,10,10,450.00 
MSOA,E02000346,Hackney 002,80,130,10,700,"1,010",340,30,60,60,60,70,990,10,3540.00 
LSOA,E01001714,Hackney 002A,20,30,0,0,300,90,10,30,20,40,40,130,0,710.00 
LSOA,E01001811,Hackney 002D,20,10,0,260,270,30,0,20,40,20,0,0,0,670.00 
LSOA,E01001813,Hackney 002E,30,50,0,240,0,220,0,0,0,0,20,220,0,780.00 
LSOA,E01033701,Hackney 002F,10,40,0,200,440,10,20,10,0,10,0,640,0,1380.00 
MSOA,E02000347,Hackney 003,"1,290",290,20,10,200,350,320,70,50,100,90,0,30,2820.00 
LSOA,E01001799,Hackney 003A,260,70,0,0,10,20,50,20,0,80,0,0,0,500.00 
LSOA,E01001802,Hackney 003B,210,30,10,0,130,70,0,10,0,0,40,0,0,510.00 
LSOA,E01001804,Hackney 003C,190,60,0,10,30,150,20,0,10,0,10,0,0,480.00 
LSOA,E01001807,Hackney 003D,360,70,0,0,10,100,70,40,20,0,30,0,10,690.00 
LSOA,E01001812,Hackney 003E,270,60,0,0,20,20,190,10,20,20,20,0,20,640.00 
MSOA,E02000348,Hackney 004,580,320,20,950,50,450,150,130,90,10,60,40,20,2870.00 
LSOA,E01001725,Hackney 004A,280,100,0,130,20,0,30,0,10,10,0,0,0,580.00 
LSOA,E01001726,Hackney 004B,50,10,0,390,0,0,10,0,0,0,0,10,0,470.00 
LSOA,E01001800,Hackney 004C,10,110,0,350,0,20,90,40,0,0,40,0,0,660.00 
LSOA,E01001824,Hackney 004D,100,30,20,40,30,230,0,50,0,0,0,0,20,530.00 
LSOA,E01001826,Hackney 004E,140,70,0,40,0,190,20,30,80,10,20,30,0,630.00 
MSOA,E02000350,Hackney 006,"2,460",600,10,0,110,190,20,40,10,70,130,70,10,3720.00 
LSOA,E01001723,Hackney 006A,410,190,0,0,40,10,10,10,0,0,0,0,0,660.00 
LSOA,E01001724,Hackney 006B,620,70,10,0,20,120,0,20,0,50,120,0,0,1030.00 
LSOA,E01001727,Hackney 006C,330,230,0,0,0,20,0,0,0,0,10,0,0,590.00 
LSOA,E01001768,Hackney 006D,600,30,0,0,40,40,0,10,0,0,0,60,0,780.00 
LSOA,E01001769,Hackney 006E,510,90,0,0,10,0,10,0,10,20,0,0,0,650.00 
MSOA,E02000351,Hackney 007,"2,020",270,10,10,20,200,260,120,100,530,190,150,10,3880.00 
LSOA,E01001715,Hackney 007A,440,110,0,0,0,0,0,10,0,70,0,10,10,650.00 
LSOA,E01001716,Hackney 007B,180,50,0,0,0,180,0,40,100,20,40,120,0,730.00 
LSOA,E01001717,Hackney 007C,10,0,0,0,0,0,0,0,0,420,0,0,0,430.00 
LSOA,E01001718,Hackney 007D,700,80,0,0,0,20,0,0,0,10,0,0,0,820.00 
LSOA,E01001719,Hackney 007E,10,0,10,0,20,0,240,30,0,0,140,0,0,450.00 
LSOA,E01001720,Hackney 007F,690,40,0,0,0,0,20,40,10,0,10,20,0,810.00 
MSOA,E02000352,Hackney 008,910,80,30,330,400,350,70,100,130,190,150,40,20,2780.00 
LSOA,E01001742,Hackney 008A,200,10,10,140,180,30,20,50,30,100,10,10,0,780.00 
LSOA,E01001801,Hackney 008B,180,10,0,0,0,40,60,30,80,90,100,0,10,590.00 
LSOA,E01001803,Hackney 008C,340,50,20,70,0,200,0,0,10,0,0,30,0,720.00 
LSOA,E01001806,Hackney 008D,190,10,0,120,220,80,0,20,10,0,30,0,10,690.00 
MSOA,E02000353,Hackney 009,"2,170",250,0,0,130,100,50,240,10,60,170,20,30,3220.00 
LSOA,E01001741,Hackney 009A,440,20,0,0,50,20,0,0,0,20,20,0,0,570.00 
LSOA,E01001805,Hackney 009B,280,90,0,0,10,30,40,0,0,10,10,20,20,520.00 
LSOA,E01001829,Hackney 009C,580,20,0,0,10,30,0,0,0,20,50,0,0,710.00 
LSOA,E01001831,Hackney 009D,340,50,0,0,50,0,0,230,0,10,80,0,10,770.00 
LSOA,E01001832,Hackney 009E,530,70,0,0,20,10,0,10,0,10,10,0,0,660.00 
MSOA,E02000354,Hackney 010,"1,640",260,160,0,140,470,290,300,120,130,480,120,10,4120.00 
LSOA,E01001764,Hackney 010A,260,90,0,0,10,120,20,70,0,10,50,50,0,690.00 
LSOA,E01001765,Hackney 010B,0,10,0,0,20,150,190,100,0,30,260,30,0,790.00 
LSOA,E01001767,Hackney 010D,440,20,0,0,80,40,30,0,0,0,20,0,10,640.00 
LSOA,E01001770,Hackney 010E,270,0,160,0,0,160,0,120,0,30,10,10,0,770.00 
LSOA,E01033703,Hackney 010F,240,110,0,0,10,0,50,10,120,30,40,10,0,640.00 
LSOA,E01033713,Hackney 010G,420,30,0,0,20,0,0,0,0,20,100,10,0,600.00 
MSOA,E02000355,Hackney 011,"2,370",250,100,40,160,70,10,10,40,10,50,40,40,3190.00 
LSOA,E01001792,Hackney 011A,340,70,40,20,110,20,10,0,0,0,10,30,10,660.00 
LSOA,E01001793,Hackney 011B,460,50,60,10,10,40,0,0,0,0,0,0,10,650.00 
LSOA,E01001794,Hackney 011C,510,70,0,0,0,0,0,0,10,0,40,0,20,650.00 
LSOA,E01001795,Hackney 011D,530,10,0,0,20,10,0,0,0,10,0,0,10,580.00 
LSOA,E01001796,Hackney 011E,530,40,10,0,30,0,0,0,30,0,0,0,10,640.00 
MSOA,E02000356,Hackney 012,"1,900",190,0,40,210,230,120,80,10,160,200,20,10,3170.00 
LSOA,E01001736,Hackney 012A,490,40,0,0,100,10,10,30,10,20,20,0,0,710.00 
LSOA,E01001737,Hackney 012B,360,50,0,30,50,40,10,0,0,80,150,10,0,770.00 
LSOA,E01001738,Hackney 012C,440,50,0,0,60,160,30,20,0,30,0,0,10,780.00 
LSOA,E01001739,Hackney 012D,610,50,0,10,10,30,80,40,0,40,20,10,0,910.00 
MSOA,E02000357,Hackney 013,90,0,10,930,10,350,100,830,0,190,30,210,0,2750.00 
LSOA,E01001786,Hackney 013A,50,0,0,550,0,90,0,30,0,0,20,210,0,940.00 
LSOA,E01001787,Hackney 013B,40,0,0,0,0,170,0,410,0,0,10,0,0,640.00 
LSOA,E01001788,Hackney 013C,0,0,10,0,0,90,100,280,0,190,0,0,0,670.00 
LSOA,E01001790,Hackney 013D,0,0,0,380,0,0,0,120,0,0,0,0,0,500.00 
MSOA,E02000358,Hackney 014,"2,050",620,70,30,400,420,290,450,130,80,240,90,10,4880.00 
LSOA,E01001740,Hackney 014A,20,0,0,0,120,140,180,110,40,20,20,0,0,640.00 
LSOA,E01001747,Hackney 014B,400,40,10,10,30,20,0,240,60,20,100,70,0,980.00 
LSOA,E01001830,Hackney 014C,320,160,0,0,150,130,20,50,10,20,70,0,0,920.00 
LSOA,E01001833,Hackney 014D,540,170,0,10,10,70,60,20,0,0,30,20,10,930.00 
LSOA,E01001834,Hackney 014E,430,220,0,0,80,70,30,10,20,20,20,0,0,890.00 
LSOA,E01001835,Hackney 014F,360,30,60,0,20,0,0,30,10,0,0,0,0,510.00 
MSOA,E02000359,Hackney 015,"1,600",120,0,10,80,50,80,430,10,20,90,30,10,2540.00 
LSOA,E01001733,Hackney 015A,580,30,0,0,0,10,50,0,0,10,70,20,0,780.00 
LSOA,E01001785,Hackney 015B,370,50,0,10,0,0,0,160,0,0,0,10,0,600.00 
LSOA,E01001789,Hackney 015C,430,10,0,0,60,10,0,120,0,0,20,0,10,660.00 
LSOA,E01001791,Hackney 015D,220,30,0,0,10,40,30,160,10,0,10,0,0,510.00 
MSOA,E02000360,Hackney 016,"1,280",170,320,"1,320",330,130,60,430,80,130,360,180,70,4880.00 
LSOA,E01001745,Hackney 016A,300,10,40,310,30,20,20,10,10,10,110,110,0,1000.00 
LSOA,E01001746,Hackney 016B,0,0,270,250,0,0,0,0,0,0,60,0,30,620.00 
LSOA,E01001757,Hackney 016C,0,0,0,420,180,0,0,60,0,0,0,0,0,660.00 
LSOA,E01001758,Hackney 016D,130,10,0,320,70,80,0,130,10,10,120,0,0,860.00 
